Arabic,English
قَالَ (qāla),to say | said
كَانَ (kāna),to be | be | was
ءَامَنَ (ʾāmana),to believe
عَلِمَ (ʿalima),to know
جَعَلَ (jaʿala),to make
كَفَرَ (kafara),to disbelieve
جَاءَ (jāʾa),to come
عَمِلَ (ʿamila),to do | to work
آتَى (ʾātā),to give
رَأَى (raʾā),to see
أَتَى (ʾatā),to come | to bring
شَاءَ (šāʾa),to will | to wish
خَلَقَ (ḵalaqa),to create
أَنْزَلَ (ʾanzala),to send down | to reveal
كَذَّبَ (kaḏḏaba),to deny | to reject
دَعَا (daʿā),to call | to invite | to pray
أَتَّقَى (ʾattaqā),to be righteous | to fear (Allah)
هَدَى (hadā),to guide
أَرَادَ (ʾarāda),to intend | to desire | to want | to wish
اتَّبَعَ,to follow
أَرْسَلَ (ʾarsala),to send
أَخَذَ (ʾaḵaḏa),to take | to seize
اِتَّخَذَ (ittaḵaḏa),to take
عَبَدَ (ʿabada),to worship
ظَلَمَ (ẓalama),to oppress | to wrong
سَأَلَ (saʾala),to ask
وَجَدَ (wajada),to find
أَخْرَجَ (ʾaḵraja),to bring forth | to drive out
أَكَلَ (ʾakala),to eat | to consume
لَيْسَ (laysa),to not be
فَعَلَ (faʿala),to do
نَظَرَ (naẓara),to look | to see
ذَكَرَ (ḏakara),to remember | to mention
خَافَ (ḵāfa),to fear | to be afraid
قَتَلَ (qatala),to kill
رَجَعَ (rajaʿa),to return
سَمِعَ (samiʿa),to hear | to listen
تَوَلَّى (tawallā),to turn
أَمَرَ (ʾamara),to order | to command
دَخَلَ (daḵala),to enter
جَزَى (jazā),to reward | to recompense
أَطَاعَ (ʾaṭāʿa),to obey
أَوْحَى (ʾawḥā),to reveal | to inspire
أَشْرَكَ (ʾašraka),to associate partners
أَلْقَى (ʾalqā),to cast | to throw | to meet | to offer
وَعَدَ (waʿada),to promise
أَنفَقَ,to spend
غَفَرَ (ḡafara),to forgive
أَحْبَبْ (ʾaḥbab),to love | to like
أَصَابَ (ʾaṣāba),to strike | to befall | to bestow
أَضَلَّ (ʾaḍalla),to let go astray | to mislead
تَابَ (tāba),to repent | to turn
كَسَبَ (kasaba),to earn
نَزَّلَ (nazzala),to send down | to reveal
تَلَى (talā),to recite
رَزَقَ (razaqa),to provide
قَضَى (qaḍā),to decree | to decide | to judge
نَصَرَ (naṣara),to help
صَبَرَ (ṣabara),to be patient
جَرَيْ (jaray),to flow | to run
مَسَّ (massa),to touch
ضَرَبَ (ḍaraba),to strike | to set forth
قَتَلَ (qatala),to fight
أَقَامَ (ʾaqāma),to establish
خَرَجَ (ḵaraja),to go out | to come out | to depart | to leave
ضَلَّ (ḍalla),to go astray | to err | to lose
بَعَثَ (baʿaṯa),to raise | to resurrect | to send
أَحْيَا (ʾaḥyā),to give life
تَذَكَّرَ (taḏakkara),to receive admonition
أَهْلَكَ (ʾahlaka),to destroy
افْتَرَى,to invent
زَادَ (zāda),to increase
عَقَلُ (ʿaqalu),to understand | to reason
كَتَبَ (kataba),to write | to prescribe | to ordain
ظَنَّ (ẓanna),to think | to assume | to guess
شَكَرَ (šakara),to be grateful | to give thanks
نَبَّأَ (nabbaʾa),to inform
حَكَمَ (ḥakama),to judge
يَذَرَ (yaḏara),to leave | to forsake
حَسِبَ (ḥasiba),to think
شَهِدَ (šahida),to testify | to bear witness
مَلَكَتْ (malakat),to possess | to have power
نَادَى (nādā),to call
أَنذَرَ,to warn
أُدْخِلَ (ʾudḵila),to admit
سَبَّحَ (sabbaḥa),to glorify | to praise
اسْتَطَاعَ,to be able| to | to be capable
حَمَلَ (ḥamala),to carry | to bear
عَذَّبَ (ʿaḏḏaba),to punish
عَلَّمَ (ʿallama),to teach
بِئْسَ (biʾsa),to be wretched | to be evil
بَلَغَ (balaḡa),to reach
تَرَكَ (taraka),to leave
خَشِىَ,to fear
أَرَى (ʾarā),to show
اِسْتَغْفَرَ (istaḡfara),to ask forgiveness
اِسْتَكْبَرَ (istakbara),to be arrogant
اِهْتَدَى (ihtadā),to be guided
تَوَكَّلْ (tawakkal),to put trust
حَرَّمَ (ḥarrama),to forbid | to make unlawful
مَاتَ (māta),to die
بُشِّرَ (buššira),to give glad tidings
رَضِىَ,to be pleased
يَحْزُن (yaḥzun),to grieve
حَشَرَ (ḥašara),to gather | to raise
صَدَّ (ṣadda),to turn away | to avert | to hinder
نَجَّى (najjā),to save | to deliver
ذَاقُ (ḏāqu),to taste
رَدَّ (radda),to turn back | to return
بَيَّنُ (bayyanu),to make clear
اخْتَلَفَ,to differ
ذَهَبَ (ḏahaba),to go | to take away
سَجَدَ (sajada),to prostrate
اسْتَوَى,to be equal | to be alike | to establish
نَسِىَ,to forget
ابْتَغَى,to seek
قَامَ (qāma),to stand up | to rise | to establish
أَعْرَضَ (ʾaʿraḍa),to turn away
كَفَى (kafā),to be sufficient
نَهَى (nahā),to forbid
نَفَعَ (nafaʿa),to profit | to benefit
سَآءَ (saʾāʾa),to be evil
عَسَى (ʿasā),to perhaps
لَبِثَ (labiṯa),to remain | to stay | to hesitate | to delay
وَلَّى (wallā),to turn
أَبْصَرَ (ʾabṣara),to see
اسْتَجَابَ,to answer | to respond
رَحِمَ (raḥima),to have mercy
أَصْبَحَ (ʾaṣbaḥa),to become
أَصْلَحَ (ʾaṣlaḥa),to correct | to reform | to improve | to make peace
أَغْنَتْ (ʾaḡnat),to avail | to enrich
جَهَدَ (jahada),to strive
عَصَا (ʿaṣā),to disobey
عَفَا (ʿafā),to forgive | to pardon
أَفْلَحَ (ʾaflaḥa),to succeed
قَدَّمَ (qaddama),to send forth | to offer
زَيَّنَ (zayyana),to make fair-seeming
بَغَى (baḡā),to seek | to oppress
جَدَلُ (jadalu),to argue | to dispute
خَلَا (ḵalā),to pass away
يَشْعُرُ (yašʿuru),to perceive | to realize
قَدَرَ (qadara),to restrict | to control | to have power
كَادَ (kāda),to be near | to nearly do | to almost do
تَوَفَّى (tawaffā),to pass away | to die
أَذِنَ (ʾaḏina),to permit
بَدَّلَ (baddala),to change
فَتَنُ (fatanu),to persecute | to test | to try
لَعَنَ (laʿana),to curse
أَنجَى,to save
جَمَعَ (jamaʿa),to gather | to collect
أَذَاقَ (ʾaḏāqa),to cause taste
يَرْجُوا (yarjū),to hope | to expect | to desire
رَفَعَ (rafaʿa),to raise
سَخَّرَ (saḵḵara),to subject | to impose
أَسْلَمَ (ʾaslama),to submit
مَكَرَ (makara),to plot | to scheme | to plan
وَهَبَ (wahaba),to grant | to bestow
أَحْسَنَ (ʾaḥsana),to do good
اشْتَرَى,to buy | to purchase | to exchange
كَتَمَ (katama),to conceal | to hide
مَشَ (maša),to walk
أَمَاتَ (ʾamāta),to cause death
اسْتُهْزِئَ,to mock | to ridicule
وَضَعَ (waḍaʿa),to deliver | to give birth
أَمِنَ (ʾamina),to feel secure
